time,SiteName,tax,Year,n,nCheck,modMedian,modMean,modci90lo,modci90up
-11,Carrickalinga Head,Fish,2005,6000,6000,21,21.823333333333334,12.949999999999989,33
-11,Carrickalinga Head,Invert,2005,6000,6000,7,7.2945,3,13
-11,Carrickalinga South Bay,Fish,2005,6000,6000,19,19.8855,11,30
-11,Carrickalinga South Bay,Invert,2005,6000,6000,5,5.251333333333333,1,10
-11,Dodd's Beach,Fish,2005,6000,6000,14,14.185666666666666,7,22
-11,Dodd's Beach,Invert,2005,6000,6000,5,5.452833333333333,2,10
-11,Flat Irons,Fish,2005,6000,6000,9,8.913,4,15
-11,Flat Irons,Invert,2005,6000,6000,10,10.399833333333333,5,17
-11,Newland Head,Fish,2005,6000,6000,9,9.071333333333333,4,16
-11,Newland Head,Invert,2005,6000,6000,9,9.596333333333334,4,17
-11,Outside Granite Island,Fish,2005,6000,6000,8,8.087333333333333,3,14
-11,Outside Granite Island,Invert,2005,6000,6000,9,8.901833333333334,4,15
-11,Rapid Head Windmill,Fish,2005,6000,6000,16,16.371166666666667,9,26
-11,Rapid Head Windmill,Invert,2005,6000,6000,5,5.408833333333333,2,10
-11,Ripple Rock,Fish,2005,6000,6000,21,20.871,12,32
-11,Ripple Rock,Invert,2005,6000,6000,7,6.924666666666667,2,12
-11,Shag Rock Carrickalinga,Fish,2005,6000,6000,19,20.028333333333332,11,30
-11,Shag Rock Carrickalinga,Invert,2005,6000,6000,6,6.12,2,11
-11,The Bluff,Fish,2005,6000,6000,10,10.7085,5,18
-11,The Bluff,Invert,2005,6000,6000,7,6.897166666666666,2,12
-11,West Island Outer,Fish,2005,6000,6000,8,7.8598333333333334,3,14
-11,West Island Outer,Invert,2005,6000,6000,6,5.831833333333333,2,11
-10,Carrickalinga Head,Fish,2006,6000,6000,20,20.6005,12,31
-10,Carrickalinga Head,Invert,2006,6000,6000,7,7.112333333333333,3,12
-10,Carrickalinga South Bay,Fish,2006,6000,6000,19,19.396,11,29
-10,Carrickalinga South Bay,Invert,2006,6000,6000,5,5.0945,2,10
-10,Dodd's Beach,Fish,2006,6000,6000,14,14.092333333333332,7,22
-10,Dodd's Beach,Invert,2006,6000,6000,5,5.522,2,10
-10,Outside Granite Island,Fish,2006,6000,6000,8,7.920166666666667,3,14
-10,Outside Granite Island,Invert,2006,6000,6000,9,8.951166666666667,4,15
-10,Rapid Head Windmill,Fish,2006,6000,6000,16,15.999,8,25
-10,Rapid Head Windmill,Invert,2006,6000,6000,5,5.4595,2,10
-10,Ripple Rock,Fish,2006,6000,6000,20,20.775833333333335,12,31
-10,Ripple Rock,Invert,2006,6000,6000,7,6.825666666666667,2,12
-10,Shag Rock Carrickalinga,Fish,2006,6000,6000,19,19.635166666666667,11,29
-10,Shag Rock Carrickalinga,Invert,2006,6000,6000,6,6.2365,2,11
-10,The Bluff,Fish,2006,6000,6000,10,10.614833333333333,5,17
-10,The Bluff,Invert,2006,6000,6000,7,7.1695,3,13
-9,Carrickalinga Head,Fish,2007,6000,6000,19,19.301,11,30
-9,Carrickalinga Head,Invert,2007,6000,6000,7,7.066833333333333,2,13
-9,Carrickalinga South Bay,Fish,2007,6000,6000,19,19.218666666666667,11,29
-9,Carrickalinga South Bay,Invert,2007,6000,6000,5,5.028333333333333,1,10
-9,Dodd's Beach,Fish,2007,6000,6000,14,14.235666666666667,7,22
-9,Dodd's Beach,Invert,2007,6000,6000,5,5.509166666666666,2,10
-9,Fishery Beach,Fish,2007,6000,6000,10,10.291833333333333,4,18
-9,Fishery Beach,Invert,2007,6000,6000,8,8.313166666666667,3,15
-9,Flat Irons,Fish,2007,6000,6000,9,8.858333333333333,4,15
-9,Flat Irons,Invert,2007,6000,6000,10,10.787166666666666,5,18
-9,Newland Head,Fish,2007,6000,6000,9,9.074833333333334,4,16
-9,Newland Head,Invert,2007,6000,6000,9,9.5485,4,16
-9,Outside Granite Island,Fish,2007,6000,6000,7,7.8025,3,14
-9,Outside Granite Island,Invert,2007,6000,6000,9,9.0125,4,15
-9,Porpoise Head,Fish,2007,6000,6000,13,13.2105,6,22
-9,Porpoise Head,Invert,2007,6000,6000,10,10.061833333333333,4,17
-9,Rapid Head Windmill,Fish,2007,6000,6000,15,15.455,8,24
-9,Rapid Head Windmill,Invert,2007,6000,6000,5,5.598,2,10
-9,Ripple Rock,Fish,2007,6000,6000,20,20.227666666666668,11,30
-9,Ripple Rock,Invert,2007,6000,6000,6,6.675166666666667,2,12
-9,Shag Rock Carrickalinga,Fish,2007,6000,6000,19,19.166166666666665,10,29
-9,Shag Rock Carrickalinga,Invert,2007,6000,6000,6,6.285166666666667,2,11
-9,The Bluff,Fish,2007,6000,6000,10,10.465,5,17
-9,The Bluff,Invert,2007,6000,6000,7,7.487666666666667,3,13
-9,West Island Outer,Fish,2007,6000,6000,8,7.911,3,14
-9,West Island Outer,Invert,2007,6000,6000,6,5.990333333333333,2,11
-9,Whalebone,Fish,2007,6000,6000,9,8.922333333333333,4,16
-9,Whalebone,Invert,2007,6000,6000,8,8.029666666666667,3,14
-8,Carrickalinga South Bay,Fish,2008,6000,6000,18,18.709833333333332,10,29
-8,Carrickalinga South Bay,Invert,2008,6000,6000,5,4.9175,1,9
-8,Rapid Bay Jetty,Fish,2008,6000,6000,19,19.681166666666666,10,31
-8,Rapid Bay Jetty,Invert,2008,6000,6000,3,3.4151666666666665,1,7
-8,Shag Rock Carrickalinga,Fish,2008,6000,6000,18,18.750666666666667,10,28
-8,Shag Rock Carrickalinga,Invert,2008,6000,6000,6,6.484,2,12
