Filename,Frame,Time (mins),OpCode,TapeReader,Depth,Comment,Habitat,Soak Time,Bias,FOV,Vis,Family,Genus,Species,Code,MaxN,Has fed
AROC01_1512_L.avi,13542,4.514,ARCO01_1512,JHicks,16.6,NA,Reef; Sand; Transition,60,2,1,1,Sparidae,Pagrus,auratus,37353001,20,No
AROC01_1512_L.avi,86322,28.774,ARCO01_1512,JHicks,16.6,NA,Reef; Sand; Transition,60,2,1,1,Carangidae,Pseudocaranx,sp,37337924,8,No
AROC01_1512_L.avi,12613,4.2043,ARCO01_1512,JHicks,16.6,NA,Reef; Sand; Transition,60,2,1,1,Odacidae,Siphonognathus,caninis,37385011,1,No
AROC01_1512_L.avi,173560,57.8533,ARCO01_1512,JHicks,16.6,NA,Reef; Sand; Transition,60,2,1,1,Monacanthidae,Thamnaconus,degeni,37465037,15,No
AROC01_1512_L.avi,26784,8.928,ARCO01_1512,JHicks,16.6,NA,Reef; Sand; Transition,60,2,1,1,Mullidae,Upeneichthys,vlamingii,37355029,4,No
AROC02_1512_L.avi,107902,35.9673,ARCO02_1512,JHicks,16,NA,Halophila; medium,60,2,1,1,Sparidae,Pagrus,auratus,37353001,8,No
AROC02_1512_L.avi,24962,8.3207,ARCO02_1512,JHicks,16,NA,Halophila; medium,60,2,1,1,Pinguipedidae,Parapercis,ramsayi,37390002,1,No
AROC02_1512_L.avi,31814,10.6047,ARCO02_1512,JHicks,16,NA,Halophila; medium,60,2,1,1,Carangidae,Pseudocaranx,sp,37337924,15,No
AROC02_1512_L.avi,121927,40.6423,ARCO02_1512,JHicks,16,NA,Halophila; medium,60,2,1,1,Monacanthidae,Thamnaconus,degeni,37465037,7,No
AROC03_1512_L.avi,77766,25.922,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Monacanthidae,Acanthaluteres,brownii,37465001,1,No
AROC03_1512_L.avi,42569,14.1897,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Monacanthidae,Acanthaluteres,vittiger,37465002,2,No
AROC03_1512_L.avi,175925,58.6417,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Labridae,Austrolabrus,maculatus,37384025,1,No
AROC03_1512_L.avi,84816,28.272,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Heterodontidae,Heterodontus,portusjacksoni,37007001,1,No
AROC03_1512_L.avi,57576,19.192,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Labridae,Notolabrus,parilus,37384022,1,No
AROC03_1512_L.avi,72002,24.0007,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Sparidae,Pagrus,auratus,37353001,15,No
AROC03_1512_L.avi,76806,25.602,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Gerreidae,Parequula,melbournensis,37349001,1,No
AROC03_1512_L.avi,88272,29.424,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Platycephalidae,Platycephalus,speculator,37296037,1,No
AROC03_1512_L.avi,151629,50.543,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Carangidae,Pseudocaranx,sp,37337924,1,No
AROC03_1512_L.avi,58142,19.3807,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Monacanthidae,Scobinichthys,granulatus,37465007,2,No
AROC03_1512_L.avi,162522,54.174,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Sillaginidae,Sillago,sp,37330904,3,No
AROC03_1512_L.avi,164749,54.9163,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Monacanthidae,Thamnaconus,degeni,37465037,50,Yes
AROC03_1512_L.avi,17132,5.7107,ARCO03_1512,JHicks,16.5,NA,Halophila; Dense,60,2,1,1,Mullidae,Upeneichthys,vlamingii,37355029,1,No
AROC04_1512_L.avi,89857,29.9523,ARCO04_1512,JHicks,16.6,NA,Reef; Foliaceous; Flat,60,2,1,1,Monacanthidae,Acanthaluteres,brownii,37465001,1,No
AROC04_1512_L.avi,25464,8.488,ARCO04_1512,JHicks,16.6,NA,Reef; Foliaceous; Flat,60,2,1,1,Labridae,Austrolabrus,maculatus,37384025,4,No
AROC04_1512_L.avi,37364,12.4547,ARCO04_1512,JHicks,16.6,NA,Reef; Foliaceous; Flat,60,2,1,1,Cheilodactylidae,Dactylophora,nigricans,37377005,1,No
AROC04_1512_L.avi,180096,60.032,ARCO04_1512,JHicks,16.6,NA,Reef; Foliaceous; Flat,60,2,1,1,Heterodontidae,Heterodontus,portusjacksoni,37007001,1,No
AROC04_1512_L.avi,31693,10.5643,ARCO04_1512,JHicks,16.6,NA,Reef; Foliaceous; Flat,60,2,1,1,Labridae,Notolabrus,parilus,37384022,1,No
AROC04_1512_L.avi,84757,28.2523,ARCO04_1512,JHicks,16.6,NA,Reef; Foliaceous; Flat,60,2,1,1,Sparidae,Pagrus,auratus,37353001,20,Yes
AROC04_1512_L.avi,137366,45.7887,ARCO04_1512,JHicks,16.6,NA,Reef; Foliaceous; Flat,60,2,1,1,Gerreidae,Parequula,melbournensis,37349001,1,No
AROC04_1512_L.avi,91421,30.4737,ARCO04_1512,JHicks,16.6,NA,Reef; Foliaceous; Flat,60,2,1,1,Carangidae,Pseudocaranx,sp,37337924,3,No
